sintomas,especialidad
Tengo veo mosquitas volando desde esta mañana.,Oftalmología
Desde ayer tengo síncope vasovagal desde hace 3 días.,Cardiología
Tengo se me regresa la comida agria desde esta mañana.,Gastroenterología
"Me vienen unos cólicos que me tumban, acompañado de me baja la regla muy fuerte y a deshora.",Ginecología
Tengo un dolor en el riñón que me dobla con tengo problemas de potencia sexual.,Urología
Me da reacción a medicamentos constante.,Alergología
Me da me mareo si muevo la cabeza desde esta mañana.,Otorrinolaringología
Indica tener rinitis alérgica estacional de inicio súbito.,Alergología
Paciente refiere que leucorrea fétida intermitente.,Ginecología
Desde ayer tengo tengo ganas de quitarme la vida de inicio súbito.,Psiquiatría
Paciente refiere que se me salió el hueso intermitente.,Traumatología
Hay presencia de edema periorbitario desde esta mañana.,Nefrología
Hay presencia de hematemesis desde hace 3 días.,Gastroenterología
Odontalgia severa con absceso periodontal.,Odontología
Ayúdeme con el nene no para de llorar desde hace 3 días.,Pediatría
Me da hematuria macroscópica intermitente.,Urología
Vértigo posicional y además odinofagia intensa.,Otorrinolaringología
"Anafilaxia, acompañado de traumatismo craneoencefálico.",Emergencias
"Tos productiva con esputo, también refiere hemoptisis.",Neumología
Se queja de rinitis alérgica estacional intermitente.,Alergología
"Me cae mal todo lo que como, también refiere tengo el colon inflamado.",Gastroenterología
"Doctor, tengo acné nódulo-quístico intermitente.",Dermatología
Alopecia areata y siente nevus displásico.,Dermatología
"Hematuria macroscópica, sumado a dolor testicular agudo.",Urología
Indica tener sibilancias espiratorias hace una semana.,Neumología
Se queja de pérdida de peso caquectizante desde hace 3 días.,Oncología
Presenta distensión abdominal y dice que me arde la boca del estómago.,Gastroenterología
"Me cae mal todo lo que como, sumado a estoy vomitando sangre.",Gastroenterología
"Me siento muy nervioso y con miedo, sumado a tengo ganas de quitarme la vida.",Psiquiatría
Me da fenómeno de Raynaud desde esta mañana.,Reumatología
Siento que siento como una pata de elefante en el pecho hace una semana.,Cardiología
Hay presencia de me duele la barriga un poco constante.,Medicina General
Síncope vasovagal y además disnea de esfuerzo.,Cardiología
Desde ayer tengo todo me da vueltas y me tumba intermitente.,Neurología
Acude por presentar odontalgia severa desde hace 3 días.,Odontología
Presento fenómeno de Raynaud desde hace 3 días.,Reumatología
"Me arde la boca del estómago, acompañado de tengo el colon inflamado.",Gastroenterología
Hay presencia de reflujo gastroesofágico de inicio súbito.,Gastroenterología
Desde ayer tengo dermatitis atópica intermitente.,Dermatología
Paciente refiere que me estoy secando de lo flaco desde hace 3 días.,Oncología
Manifiesta me duele la muela horrible constante.,Odontología
Siento que gingivorragia intermitente.,Odontología
Paciente refiere que masa palpable no dolorosa de inicio súbito.,Oncología
"Hemoptisis, también refiere sibilancias espiratorias.",Neumología
"Doctor, tengo tengo problemas de potencia sexual que no pasa.",Urología
Siento que hiperemia conjuntival desde esta mañana.,Oftalmología
"Paso estornudando todo el día, también refiere me enronché después de tomar la pastilla.",Alergología
Erupción exantemática y además tos ferina.,Pediatría
Fiebre de origen desconocido con adenopatías generalizadas.,Infectología
Siento que tengo una fiebre que no se me va desde esta mañana.,Infectología
Me siento decaído y sin fuerzas con me duele la barriga un poco.,Medicina General
Me duele full el oído derecho y siente no puedo ni tragar del dolor de garganta.,Otorrinolaringología
Desde ayer tengo fractura expuesta de inicio súbito.,Traumatología
Acude por presentar tengo sarpullido que pica mucho desde hace 3 días.,Dermatología
Tengo fenómeno de Raynaud que no pasa.,Reumatología
Siento que proteinuria espumosa constante.,Nefrología
Me duele todo el cuerpo y además me siento decaído y sin fuerzas.,Medicina General
Paciente refiere que traumatismo craneoencefálico de inicio súbito.,Emergencias
Acude por presentar hemorragia digestiva oculta intermitente.,Oncología
Manifiesta odontalgia severa hace una semana.,Odontología
Tos productiva con esputo y siente hemoptisis.,Neumología
Tengo estoy orinando sangre constante.,Urología
"Doctor, tengo estoy amarillo como patito intermitente.",Gastroenterología
Indica tener me baja la regla muy fuerte y a deshora desde esta mañana.,Ginecología
Paciente refiere que cólico renoureteral desde esta mañana.,Urología
Presento no puedo mover la rodilla ni un poquito intermitente.,Traumatología
Presento tengo mal aliento intermitente.,Odontología
Desde ayer tengo cervicalgia post-latigazo de inicio súbito.,Traumatología
Rigidez articular y además fenómeno de Raynaud.,Reumatología
Se queja de aumento de peso injustificado hace una semana.,Endocrinología
"Acné nódulo-quístico, acompañado de nevus displásico.",Dermatología
Me da le salieron granitos en todo el cuerpo de inicio súbito.,Pediatría
"Estoy aventado, sumado a tengo el colon inflamado.",Gastroenterología
Presento tengo el ojo rojo como tomate desde hace 3 días.,Oftalmología
"Se me están enchuecando los dedos, también refiere amanezco tieso.",Reumatología
"Todo lo que come lo vomita, acompañado de tiene una tos que no se le quita.",Pediatría
Acude por presentar cefalea leve constante.,Medicina General
Hay presencia de acné nódulo-quístico desde hace 3 días.,Dermatología
"Dismenorrea incapacitante, sumado a sangrado uterino anormal.",Ginecología
Presento me palpita feo el corazón que no pasa.,Cardiología
"Tos ferina, también refiere intolerancia a la vía oral.",Pediatría
Paciente refiere que me tiemblan las manos desde esta mañana.,Endocrinología
Hipertensión resistente con proteinuria espumosa.,Nefrología
Acude por presentar dismenorrea incapacitante hace una semana.,Ginecología
Presenta dermatitis atópica y dice que me salió un lunar raro.,Dermatología
Manifiesta prurito ocular y nasal que no pasa.,Alergología
Indica tener absceso periodontal que no pasa.,Odontología
Prurito ocular y nasal y siente dermatitis de contacto.,Alergología
Paciente refiere que tengo la cara llena de granos feos constante.,Dermatología
Ayúdeme con todo me da vueltas y me tumba intermitente.,Neurología
Ayúdeme con masa palpable no dolorosa hace una semana.,Oncología
Presento tos ferina de inicio súbito.,Pediatría
Tengo el cuello tieso por el frenazo y además me duele la cintura bajito.,Traumatología
Acude por presentar fractura expuesta intermitente.,Traumatología
Siento que tengo la presión por las nubes de inicio súbito.,Cardiología
Se queja de diplopía intermitente.,Oftalmología
"Intoxicación exógena, sumado a herida cortopunzante profusa.",Emergencias
Manifiesta cefalea leve intermitente.,Medicina General
Presento dolor testicular agudo desde esta mañana.,Urología
Ayúdeme con me sale sangre de la nariz desde hace 3 días.,Otorrinolaringología
Me da hemoptisis de inicio súbito.,Neumología
"Vértigo posicional, acompañado de epistaxis anterior.",Otorrinolaringología
Indica tener erupción exantemática desde hace 3 días.,Pediatría
Presenta rinorrea hialina y dice que me duele todo el cuerpo.,Medicina General
Cólico renoureteral y además disfunción eréctil.,Urología
Me da la luz me molesta muchísimo desde hace 3 días.,Oftalmología
Se queja de me duele la muela horrible desde esta mañana.,Odontología
Presento estoy viendo doble que no pasa.,Oftalmología
"Doctor, tengo mojo la cama de sudor en la noche que no pasa.",Infectología
Dolor testicular agudo y siente cólico renoureteral.,Urología
Se queja de estoy amarillo como patito hace una semana.,Gastroenterología
Siento que casi no estoy orinando nada hace una semana.,Nefrología
Desde ayer tengo tengo mucha sed y orino bastante de inicio súbito.,Endocrinología
"Doctor, tengo me chilla el pecho al respirar desde esta mañana.",Neumología
Se queja de dermatitis de contacto intermitente.,Alergología
Tengo adenopatías generalizadas desde hace 3 días.,Infectología
Alucinaciones auditivas y siente ánimo depresivo persistente.,Psiquiatría
Tengo una picazón allá abajo con me duelen los senos antes de la menstruación.,Ginecología
"Prurito ocular y nasal, sumado a reacción a medicamentos.",Alergología
Indica tener me salió un lunar raro desde hace 3 días.,Dermatología
Manifiesta tengo ganas de quitarme la vida constante.,Psiquiatría
Desde ayer tengo hemorragia digestiva oculta desde esta mañana.,Oncología
Paciente refiere que masa palpable no dolorosa hace una semana.,Oncología
Hemorragia digestiva oculta y además pérdida de peso caquectizante.,Oncología
"Lesiones herpéticas, acompañado de sudoración nocturna.",Infectología
Se queja de veo mosquitas volando que no pasa.,Oftalmología
"Bruxismo, acompañado de odontalgia severa.",Odontología
Acude por presentar estoy amarillo como patito de inicio súbito.,Gastroenterología
Ictericia marcada y siente distensión abdominal.,Gastroenterología
Ayúdeme con hemorragia digestiva oculta desde esta mañana.,Oncología
Me salieron ampollas dolorosas y siente mojo la cama de sudor en la noche.,Infectología
Acude por presentar dolor poliarticular de inicio súbito.,Reumatología
"Me duele toda la cabeza como si tuviera una vincha, sumado a todo me da vueltas y me tumba.",Neurología
Hay presencia de disuria y polaquiuria intermitente.,Urología
Manifiesta quemadura de segundo grado constante.,Emergencias
Me da diplopía desde hace 3 días.,Oftalmología
"Estoy vomitando sangre, sumado a me arde la boca del estómago.",Gastroenterología
Siento que me duele la barriga un poco hace una semana.,Medicina General
Presento mastalgia cíclica desde esta mañana.,Ginecología
Tengo hipertensión resistente hace una semana.,Nefrología
Hay presencia de veo lucecitas antes de que me duela la cabeza desde hace 3 días.,Neurología
Desde ayer tengo tiene una tos que no se le quita que no pasa.,Pediatría
Tengo epistaxis anterior hace una semana.,Otorrinolaringología
Ayúdeme con me vienen unos cólicos que me tumban que no pasa.,Ginecología
Diaforesis excesiva y siente intolerancia al frío.,Endocrinología
Paciente refiere que dolor pleurítico que no pasa.,Neumología
"Cefalea tensional holocraneal, también refiere crisis convulsiva tónico-clónica.",Neurología
Acude por presentar deformidad articular de inicio súbito.,Reumatología
Tengo dolor musculoesquelético difuso intermitente.,Medicina General
"Dolor musculoesquelético difuso, también refiere astenia y adinamia.",Medicina General
"Crisis convulsiva tónico-clónica, acompañado de vértigo periférico.",Neurología
Se me están enchuecando los dedos y siente me duelen todas las uniones.,Reumatología
Indica tener pérdida de peso caquectizante intermitente.,Oncología
Me da estoy vomitando sangre desde esta mañana.,Gastroenterología
Se me regresa la comida agria con me arde la boca del estómago.,Gastroenterología
Temblor distal fino y siente diaforesis excesiva.,Endocrinología
Indica tener tos productiva con esputo de inicio súbito.,Neumología
Se queja de se me salió el hueso desde hace 3 días.,Traumatología
Hay presencia de rinorrea hialina de inicio súbito.,Medicina General
"Doctor, tengo la luz me molesta muchísimo constante.",Oftalmología
"Me ahogo cuando estoy durmiendo, también refiere me chilla el pecho al respirar.",Neumología
Manifiesta parestesias en hemicuerpo hace una semana.,Neurología
Presento disfagia progresiva constante.,Oncología
Se queja de mastalgia cíclica de inicio súbito.,Ginecología
"Cefalea tensional holocraneal, también refiere migraña con aura.",Neurología
Hay presencia de odontalgia severa que no pasa.,Odontología
Hay presencia de tengo el ojo rojo como tomate de inicio súbito.,Oftalmología
Siento que me duele la cintura bajito de inicio súbito.,Traumatología
